gestor_red,provincia,municipio,lat,lon,subestacion_nombre,subestacion,kv,cap_disp,cap_comp,cap_ocup,cap_no_eval,comentarios,cap_total,porcentaje_disponible,color,radius
VIESGO,Asturias,Valdés,43.531231,-6.522582,ALMUÑA,101,20.0,7.9140000000000015,0.0,17.086,0.0,,25.0,31.7,yellow,3.4641807210273865
VIESGO,Asturias,Valdés,43.531231,-6.522582,ALMUÑA,101,132.0,30.0,0.0,0.0,0.0,,30.0,100.0,green,3.557016865232864
VIESGO,Asturias,Coaña,43.478806,-6.730786,ARBON,158,30.0,1.9060000000000001,0.0,23.094,0.0,,25.0,7.6,orange,3.4641807210273865
VIESGO,Asturias,Coaña,43.478806,-6.730786,ARBON,158,132.0,30.0,0.0,79.0,0.0,,109.0,27.5,yellow,5.0238279436794055
VIESGO,Asturias,Cabrales,43.300845,-4.809833,ARENAS,540,132.0,12.0,0.0,0.0,0.0,,12.0,100.0,green,3.2228067460931458
VIESGO,Asturias,Mieres del Camino,43.274761,-5.827762,BAIÑA,212,12.0,0.0,0.0,1.949,0.0,,1.95,0.0,red,3.036187529011295
VIESGO,Asturias,Mieres del Camino,43.274761,-5.827762,BAIÑA,212,30.0,1.3850000000000002,0.0,0.6,0.0,,1.99,69.8,lightgreen,3.0368559492495746
VIESGO,Asturias,Cabrales,43.260083,-4.831409,CAMARMEÑA,560,132.0,15.0,0.0,0.0,0.0,,15.0,100.0,green,3.278508432616432
VIESGO,Asturias,Lena,43.104724,-5.814095,CAMPOMANES,754,12.0,0.19,0.0,1.096,0.0,,1.29,14.8,orange,3.023877456289649
VIESGO,Asturias,Lena,43.104724,-5.814095,CAMPOMANES,754,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,red,3.0
VIESGO,Asturias,Cangas de Onís,43.344266,-5.131372,CANGAS,574,132.0,10.0,0.0,0.0,0.0,,10.0,100.0,green,3.1856722884109545
VIESGO,Asturias,Illano,43.389233,-6.822408,DOIRAS,59,30.0,7.5,0.0,0.0,0.0,,7.5,100.0,green,3.139254216308216
VIESGO,Asturias,Illano,43.389233,-6.822408,DOIRAS,59,132.0,30.0,0.0,0.0,0.0,,30.0,100.0,green,3.557016865232864
VIESGO,Asturias,Allande,43.270763,-6.677089,EL PALO,82,132.0,0.0,0.0,0.0,0.0,,0.0,0.0,red,3.0
VIESGO,Asturias,Aller,43.139456,-5.576014,ENTREPEÑAS,192,12.0,1.556,0.0,2.517,0.0,,4.07,38.2,yellow,3.075624323069782
VIESGO,Asturias,Aller,43.139456,-5.576014,ENTREPEÑAS,192,30.0,1.556,0.0,0.0,0.0,,1.56,100.0,green,3.0288906080767446
VIESGO,Asturias,Navia,43.538533,-6.765902,JARRIO,93,20.0,6.35,0.0,12.123000000000001,0.0,,18.47,34.4,yellow,3.3429924183815567
VIESGO,Asturias,Navia,43.538533,-6.765902,JARRIO,93,132.0,9.0,0.0,0.0,0.0,,9.0,100.0,green,3.167105059569859
VIESGO,Asturias,Mieres del Camino,43.076133,-5.765557,LA_OLLA,462,12.0,1.556,0.0,7.536,0.0,,9.09,17.1,orange,3.16881324462324
VIESGO,Asturias,Mieres del Camino,43.076133,-5.765557,LA_OLLA,462,30.0,1.556,0.0,0.0,0.0,,1.56,100.0,green,3.0288906080767446
